date,open,high,low,close,adjClose,volume
Tue Feb 21 2023,385,385.899994,381.700012,382.25,367.885315,8259574
Wed Feb 22 2023,382,384.899994,380,383.850006,369.425171,8961077
Thu Feb 23 2023,384.450012,394,383.100006,387.600006,373.034302,18830592
Fri Feb 24 2023,389,389,381,385.100006,370.628235,12910220
Mon Feb 27 2023,385.100006,386.799988,378.100006,382.200012,367.837189,8142319
Tue Feb 28 2023,382.5,384.25,375,376.700012,362.543915,16367477
Wed Mar 01 2023,374.25,380.399994,373.600006,378.700012,364.46875,7766667
Thu Mar 02 2023,379.5,379.75,374.700012,375.549988,361.437103,5019603
Fri Mar 03 2023,377,385.399994,376.100006,384.950012,370.483887,8180709
Mon Mar 06 2023,385.899994,392.5,385.25,388.149994,373.563599,10714339
Wed Mar 08 2023,388,393.149994,385.100006,392.399994,377.6539,8917699
Thu Mar 09 2023,392.100006,393.600006,385.649994,387.5,372.938049,9634283
Fri Mar 10 2023,386.950012,390.200012,383.5,388,373.41925,8362265
Mon Mar 13 2023,389.200012,390.899994,382.5,383.649994,369.232697,8791872
Tue Mar 14 2023,385.700012,386.450012,377.200012,379.700012,365.431183,10229766
Wed Mar 15 2023,381,384.299988,378,379.399994,365.142395,8423692
Thu Mar 16 2023,380.600006,382.350006,376.850006,381.450012,367.115417,15710094
Fri Mar 17 2023,385,385,369.649994,375.549988,361.437103,48904254
Mon Mar 20 2023,373.299988,379.350006,372,378.799988,364.564972,10122167
Tue Mar 21 2023,378.799988,378.799988,374.049988,376.950012,362.784515,11610832
Wed Mar 22 2023,376.950012,378.850006,374.200012,377.75,363.554413,4774867
Thu Mar 23 2023,377,382.75,374.399994,380.649994,366.345428,9752326
Fri Mar 24 2023,381.5,383,378,378.700012,364.46875,9934501
Mon Mar 27 2023,377.950012,384.399994,376.350006,380.200012,365.912384,10816352
Tue Mar 28 2023,380.200012,382.350006,378.149994,379.75,365.479279,9170535
Wed Mar 29 2023,380.200012,384,377.149994,382.75,368.366547,10160322
Fri Mar 31 2023,382,384.5,380,383.5,369.088348,9511189
Mon Apr 03 2023,384,384,378.5,378.899994,364.661224,7059200
Wed Apr 05 2023,378.899994,387.049988,378.899994,386.399994,371.879364,11608424
Thu Apr 06 2023,386.649994,390.299988,384.200012,387.350006,372.793701,12897667
Mon Apr 10 2023,387.350006,390,384.75,388.549988,373.948547,6783022
Tue Apr 11 2023,388.549988,398.100006,388,396,381.118591,18237451
Wed Apr 12 2023,397.75,397.799988,392.100006,393.549988,378.760681,9747526
Thu Apr 13 2023,395.5,396.600006,393.700012,395.600006,380.733673,6059044
Mon Apr 17 2023,392.899994,402,392.899994,400.149994,385.112671,11041243
Tue Apr 18 2023,400,402,397,398.5,383.524689,9494641
Wed Apr 19 2023,396.049988,401.350006,396,398.75,383.765289,9744202
Thu Apr 20 2023,400,402.649994,397.700012,400.299988,385.257019,6667781
Fri Apr 21 2023,400.299988,409,399.049988,408.25,392.908264,14252204
Mon Apr 24 2023,410,410,404.200012,408.700012,393.341339,5981760
Tue Apr 25 2023,408.700012,413.549988,407.399994,411.549988,396.084229,8840188
Wed Apr 26 2023,412,413,409.049988,412.25,396.757965,7620723
Thu Apr 27 2023,412.200012,417.399994,411,416,400.367004,12614263
Fri Apr 28 2023,418,428.25,413.700012,425.549988,409.558136,12718721
Tue May 02 2023,426,427,421.200012,424.450012,408.499481,10253527
Wed May 03 2023,424,428.5,422.049988,427.149994,411.097992,7325483
Thu May 04 2023,425.299988,427,424,424.600006,408.643829,7984933
Fri May 05 2023,425.950012,431.899994,424.350006,428.75,412.637878,12412416
Mon May 08 2023,431,433.450012,429.350006,431.450012,415.23642,7243636
Tue May 09 2023,432.799988,433.149994,421.5,423.799988,407.873871,9992962
Wed May 10 2023,423.950012,426.350006,422.200012,425.350006,409.365662,9754485
Thu May 11 2023,427.25,427.399994,418.899994,420.399994,404.601685,15982423
Fri May 12 2023,420.399994,422.700012,416.049988,420.450012,404.649841,11135894
Mon May 15 2023,420,428.700012,419.049988,427.799988,411.723602,9151102
Tue May 16 2023,430,430,423.5,423.950012,408.01828,7994197
Wed May 17 2023,424.149994,428.950012,422.600006,427.600006,411.531097,9479691
Thu May 18 2023,430,432.450012,418.100006,419.700012,403.927979,23995166
Fri May 19 2023,420.950012,423.100006,411.350006,419.850006,404.072327,25767521
Mon May 22 2023,421.950012,425.75,419.100006,424.75,408.788239,15421680
Tue May 23 2023,426,431.200012,424.200012,429.149994,413.022858,8732608
Wed May 24 2023,428.299988,434.75,427,433.5,417.209381,11479706
Thu May 25 2023,436.950012,442.450012,434.799988,441.149994,424.571899,18204464
Fri May 26 2023,443.399994,444.75,439.5,443.600006,426.92984,12995706
Mon May 29 2023,445,451.799988,444.100006,449.100006,432.223145,19826254
Tue May 30 2023,441,451.450012,441,449.899994,435.660797,18900002
Wed May 31 2023,449.299988,452,442.450012,445.5,431.400055,14272292
Thu Jun 01 2023,447,447,439,439.700012,425.78363,8803137
Fri Jun 02 2023,440,444.899994,439.799988,443.399994,429.366516,9203842
Mon Jun 05 2023,445,446.850006,440.100006,440.649994,426.703552,7152179
Tue Jun 06 2023,440.799988,443.600006,440.399994,442.799988,428.785492,6454486
Wed Jun 07 2023,444,445.649994,442.75,443.950012,429.899139,7543432
Thu Jun 08 2023,445.700012,445.75,441.899994,442.899994,428.882355,7024424
Fri Jun 09 2023,435.149994,444.700012,435.149994,438.450012,424.573181,7057843
