timestamp,open,high,low,close,adjusted close,volume,dividend amount
2011-04-01,224.9000,240.2500,221.5000,230.4500,95.0748,687896,0.0000
2011-03-25,222.0000,228.0000,219.1000,224.0000,92.4138,241844,0.0000
2011-03-18,222.0000,228.7500,212.0500,220.3500,90.9080,246938,0.0000
2011-03-11,215.1000,232.0000,209.0000,220.5500,90.9905,419676,0.0000
2011-03-04,208.2000,223.0000,206.1000,216.4000,89.2784,290044,0.0000
2011-02-25,220.3000,230.6500,199.0000,206.5000,85.1940,244716,0.0000
2011-02-18,225.9000,236.5000,218.0000,219.8000,90.6811,337290,0.0000
2011-02-11,230.0000,243.7500,215.2500,221.3000,91.2999,802356,0.0000
2011-02-04,236.0000,252.7500,218.2000,228.4000,94.2291,475104,0.0000
2011-01-28,254.5000,284.5000,237.0000,241.4500,99.6130,1664404,0.0000
2011-01-21,269.5000,277.0000,251.3000,252.3500,104.1100,171354,0.0000
2011-01-14,283.0500,294.0000,268.3500,269.8000,111.3092,235584,0.0000
2011-01-07,316.0000,320.5000,282.0000,283.1500,116.8169,351986,0.0000
2010-12-31,311.0000,333.6000,303.0000,313.2500,129.2350,1632768,0.0000
2010-12-24,280.0000,316.6000,265.0000,310.6500,128.1623,784078,0.0000
2010-12-16,274.0000,290.0000,257.3500,272.1500,112.2787,58400,0.0000
2010-12-10,289.0000,297.7500,242.0000,260.4500,107.4517,59602,0.0000
2010-12-03,280.0000,298.0000,272.2000,282.2500,116.4455,100124,0.0000
2010-11-26,311.0000,314.9500,245.0000,279.6000,115.3523,74774,0.0000
2010-11-19,335.5000,342.1000,305.6000,308.2500,127.1722,137288,0.0000
2010-11-12,330.0000,365.5000,323.1000,334.9500,138.1875,387350,0.0000
2010-11-04,335.0000,337.9500,303.0000,323.6500,133.5256,67024,0.0000
2010-10-29,323.8000,349.2000,320.0000,332.5500,137.1974,359896,0.0000
2010-10-22,323.5000,330.3500,317.0000,319.8000,131.9372,90874,0.0000
2010-10-15,342.9000,347.2000,322.1000,324.5500,133.8969,235882,0.0000
2010-10-08,333.0000,349.0000,324.0000,340.2500,140.3741,475452,0.0000
2010-10-01,343.0000,352.0000,311.2500,327.4500,135.0933,359300,0.0000
2010-09-24,337.1500,357.9000,312.5000,340.3500,140.4154,2467202,0.0000
2010-09-17,358.5000,372.4000,335.1500,336.9500,139.0127,820368,0.0000
2010-09-09,350.5000,385.4000,345.0000,354.2000,146.1294,2582472,0.0000
2010-09-03,261.9000,360.8000,260.3000,348.5000,143.7778,6773594,0.0000
2010-08-27,267.5000,272.9500,251.2000,257.3500,106.1728,105150,0.0000
2010-08-20,282.9000,282.9000,263.3000,265.1500,109.3907,153658,0.0000
2010-08-13,259.8500,288.1000,252.0500,280.4000,115.6823,716302,0.0000
2010-08-06,263.8500,272.8000,245.4500,256.2500,105.7189,284244,0.0000
2010-07-30,238.5000,278.0000,231.0000,259.2000,106.9360,2224912,2.0000
2010-07-23,213.5000,248.6000,211.1000,234.6500,95.3562,1215418,0.0000
2010-07-16,216.9500,219.9500,212.0000,213.1000,86.5988,40722,0.0000
2010-07-09,216.1000,219.0000,211.5000,213.3500,86.7004,30876,0.0000
2010-07-02,216.6000,222.6000,214.0000,214.8500,87.3100,39936,0.0000
2010-06-25,222.0000,223.9000,215.1000,215.9500,87.7570,185408,0.0000
2010-06-18,218.0500,227.9000,216.1000,217.9000,88.5494,67800,0.0000
2010-06-11,221.0000,226.0000,215.6000,216.6500,88.0414,31108,0.0000
2010-06-04,230.4000,234.5000,222.1000,223.8000,90.9470,47664,0.0000
2010-05-28,226.9000,235.7000,220.1000,229.1000,93.1008,100558,0.0000
2010-05-21,220.0000,230.8000,214.0000,225.4000,91.5972,178264,0.0000
2010-05-14,218.5000,230.5000,214.0000,220.8500,89.7482,142192,0.0000
2010-05-07,234.9000,236.0000,215.1000,216.4500,87.9602,64924,0.0000
2010-04-30,228.0000,244.0000,226.3500,236.3000,96.0267,222796,0.0000
2010-04-23,220.0000,234.0000,220.0000,227.5500,92.4709,49642,0.0000
2010-04-16,231.0000,237.9000,222.5000,224.0000,91.0283,52168,0.0000
2010-04-09,234.0000,239.8000,229.1000,229.8000,93.3853,114722,0.0000
2010-04-01,226.0000,237.5000,225.1500,232.1500,94.3403,147296,0.0000
2010-03-26,218.9500,235.8000,218.9500,229.7500,93.3650,266550,0.0000
2010-03-19,222.0000,231.0000,217.1000,222.2500,90.3172,1439068,0.0000
2010-03-12,221.0500,231.0000,218.5000,222.0500,90.2359,249576,0.0000
2010-03-05,216.6000,223.7000,215.0000,219.4000,89.1590,101312,0.0000
2010-02-26,219.0000,235.6000,212.0500,212.7000,86.4363,1627044,0.0000
2010-02-19,217.8000,233.0000,210.2000,217.3500,88.3259,542638,0.0000
2010-02-11,210.0000,218.4000,207.0000,213.2500,86.6598,145618,0.0000
2010-02-05,215.1000,240.0000,207.1500,209.5000,85.1359,594526,0.0000
2010-01-29,222.9500,231.0000,202.1000,215.9500,87.7570,348792,0.0000
2010-01-22,238.0000,245.0000,217.0000,221.1500,89.8701,287484,0.0000
2010-01-15,225.9500,252.0000,223.0000,239.0500,97.1443,744964,0.0000
2010-01-08,211.6000,244.9000,211.0500,222.9500,90.6016,1815798,0.0000
2009-12-31,216.8000,221.0000,210.0500,210.9000,85.7048,132342,0.0000
2009-12-24,210.1500,222.5000,202.1000,213.5500,86.7817,426626,0.0000
2009-12-18,190.9500,233.9000,188.4000,209.9500,85.3187,1898560,0.0000
2009-12-11,189.7500,212.4500,188.0000,189.5500,77.0286,249314,0.0000
2009-12-04,184.0500,197.0000,180.2500,190.0500,77.2318,67936,0.0000
2009-11-27,189.0000,192.0000,176.1000,180.6000,73.3916,43238,0.0000
2009-11-20,193.7500,193.7500,185.1000,188.0000,76.3988,33794,0.0000
